"Time_Iter","Outer_Iter","Inner_Iter",    "Cur_Time"    ,    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,          49,                 0,      -5.275888614,       -1.84931146,      -1.977523644,      0.2020638135
          1,           0,          49,    0.002355502561,      -5.339404435,      -2.447210356,      -2.127480697,       0.289090172
          2,           0,          49,    0.004711005123,      -5.539684526,      -2.992066276,      -2.212591314,    0.002450397912
          3,           0,          49,    0.007066507684,      -5.647622335,      -3.433382329,      -2.519738615,     -0.3183076245
          4,           0,          49,    0.009422010245,      -5.645533509,      -3.648336657,      -2.733304468,     -0.3278680047
          5,           0,          49,     0.01177751281,       -5.63815244,      -3.713986518,      -2.717611444,     -0.2968758979
          6,           0,          49,     0.01413301537,      -5.661260015,      -3.693704254,      -2.626093863,      -0.301601339
          7,           0,          49,     0.01648851793,       -5.68533317,      -3.651504801,      -2.572931725,     -0.2923250121
          8,           0,          49,     0.01884402049,      -5.703091714,      -3.621573091,      -2.584842662,     -0.2727280072
          9,           0,          49,     0.02119952305,      -5.715199872,      -3.623548227,       -2.66924861,     -0.2625759221
         10,           0,          49,     0.02355502561,      -5.758019195,      -3.657494558,      -2.820392712,     -0.2612786547
         11,           0,          49,     0.02591052817,       -5.81592721,      -3.689348067,      -3.057664165,     -0.3077193388
         12,           0,          49,     0.02826603074,       -5.87343962,      -3.716879213,      -3.183335201,     -0.3650217224
         13,           0,          49,      0.0306215333,      -5.929916734,      -3.833621469,      -2.980143953,     -0.4117637256
         14,           0,          49,     0.03297703586,      -5.946112727,      -3.920045545,      -2.850046302,     -0.4809585872
         15,           0,          49,     0.03533253842,      -5.909532435,      -3.890775674,      -2.789220148,     -0.5116343941
         16,           0,          49,     0.03768804098,      -5.867030162,      -3.839395481,      -2.763961123,     -0.4944205547
         17,           0,          49,     0.04004354354,      -5.825749231,      -3.790173826,      -2.720157681,     -0.4612924544
         18,           0,          49,      0.0423990461,      -5.798876944,      -3.747967812,      -2.643440341,     -0.4362588622
         19,           0,          49,     0.04475454866,      -5.778107215,      -3.706962352,      -2.584585351,     -0.4110832135
         20,           0,          49,     0.04711005123,      -5.755918845,      -3.667822782,      -2.592580488,     -0.3674048928
         21,           0,          49,     0.04946555379,      -5.738954008,      -3.643833282,      -2.685882638,     -0.3172277594
         22,           0,          49,     0.05182105635,      -5.747352723,      -3.677131952,      -2.860208327,      -0.287931173
         23,           0,          49,     0.05417655891,      -5.791160609,      -3.721952052,        -3.0404787,     -0.2928483861
         24,           0,          49,     0.05653206147,       -5.85825837,      -3.766930588,      -3.094289692,     -0.3338696531
         25,           0,          49,     0.05888756403,      -5.922977483,      -3.869847822,      -3.005556993,     -0.4111257301
         26,           0,          49,     0.06124306659,      -5.956156414,      -3.972406727,      -2.914464943,     -0.5048083231
         27,           0,          49,     0.06359856916,      -5.926930203,      -3.971113709,      -2.862195595,     -0.5588483692
         28,           0,          49,     0.06595407172,       -5.88775592,      -3.893373162,       -2.83694862,     -0.5543706949
         29,           0,          49,     0.06830957428,      -5.859476471,      -3.824299982,      -2.799221122,     -0.5311106325
         30,           0,          49,     0.07066507684,      -5.836749336,      -3.769887087,      -2.705362961,     -0.5029899182
         31,           0,          49,      0.0730205794,      -5.811862647,       -3.71934742,      -2.602061847,     -0.4628688258
         32,           0,          49,     0.07537608196,      -5.770894327,      -3.677591046,      -2.558292757,     -0.3982448381
         33,           0,          49,     0.07773158452,      -5.736942653,      -3.652733006,      -2.605040292,     -0.3323333231
         34,           0,          49,     0.08008708708,      -5.725049236,      -3.633004186,        -2.7450134,     -0.2824375685
         35,           0,          49,     0.08244258965,      -5.757817091,      -3.699307832,      -2.933067801,     -0.2725338538
         36,           0,          49,     0.08479809221,      -5.820268018,       -3.74004897,      -3.105123794,     -0.3051691762
         37,           0,          49,     0.08715359477,      -5.884095654,      -3.814485094,       -3.10016798,     -0.3525562192
         38,           0,          49,     0.08950909733,      -5.938766302,      -3.958520403,      -2.964123821,     -0.4224435035
         39,           0,          49,     0.09186459989,       -5.94696245,      -3.990382041,      -2.872711321,     -0.4841437089
         40,           0,          49,     0.09422010245,      -5.911669143,      -3.949305448,      -2.818750527,     -0.5064401554
         41,           0,          49,     0.09657560501,      -5.875694463,      -3.881259149,      -2.785073361,     -0.4980116263
         42,           0,          49,     0.09893110758,      -5.845627597,      -3.818869093,      -2.726455124,     -0.4813863881
         43,           0,          49,      0.1012866101,      -5.821497034,      -3.758680151,      -2.636068982,     -0.4613569239
         44,           0,          49,      0.1036421127,      -5.794012745,      -3.710637324,      -2.573338743,     -0.4307702478
         45,           0,          49,      0.1059976153,      -5.758733987,       -3.67811999,      -2.583171754,     -0.3741287011
         46,           0,          49,      0.1083531178,      -5.733027122,      -3.662948376,      -2.681372805,     -0.3139235702
         47,           0,          49,      0.1107086204,      -5.739884801,      -3.699132668,      -2.866339173,     -0.2802910864
         48,           0,          49,      0.1130641229,      -5.792717916,      -3.740143892,       -3.04066738,      -0.295288786
         49,           0,          49,      0.1154196255,      -5.867418241,      -3.786402391,      -3.116198068,     -0.3461281165
         50,           0,          49,      0.1177751281,      -5.934648028,      -3.901925076,      -3.018422752,     -0.4213660254
         51,           0,          49,      0.1201306306,      -5.970245904,      -4.035146397,      -2.918862274,     -0.5073174137
         52,           0,          49,      0.1224861332,       -5.94419378,      -4.002644746,      -2.855769913,     -0.5571778886
         53,           0,          49,      0.1248416357,      -5.903799895,      -3.906931245,      -2.822774191,     -0.5598351638
         54,           0,          49,      0.1271971383,      -5.873859351,      -3.837328224,      -2.785686714,     -0.5428075125
         55,           0,          49,      0.1295526409,      -5.846946666,      -3.792080501,      -2.694844274,      -0.509768508
         56,           0,          49,      0.1319081434,      -5.815948432,      -3.744663385,      -2.593124388,     -0.4627972634
         57,           0,          49,       0.134263646,      -5.773966316,      -3.708200867,      -2.551466691,     -0.3974327934
         58,           0,          49,      0.1366191486,      -5.739095311,      -3.677129856,      -2.598820507,      -0.328213958
         59,           0,          49,      0.1389746511,      -5.728646219,      -3.655275468,      -2.739659996,     -0.2809760444
         60,           0,          49,      0.1413301537,       -5.75744603,       -3.70551955,      -2.942182267,     -0.2670929224
         61,           0,          49,      0.1436856562,      -5.816279422,      -3.763732197,      -3.102920979,     -0.2949574262
         62,           0,          49,      0.1460411588,       -5.88384039,      -3.832993075,         -3.076367,      -0.345245629
         63,           0,          49,      0.1483966614,      -5.941414429,      -3.959221569,      -2.952093565,     -0.4212782727
         64,           0,          49,      0.1507521639,      -5.951602136,      -3.996925893,       -2.87021144,     -0.4842657875
         65,           0,          49,      0.1531076665,      -5.916739969,      -3.958655028,      -2.818858389,     -0.5059745294
         66,           0,          49,       0.155463169,      -5.879192968,      -3.884649244,      -2.783293231,     -0.4968938337
         67,           0,          49,      0.1578186716,      -5.848588279,      -3.823890053,      -2.723066356,      -0.481047638
         68,           0,          49,      0.1601741742,       -5.82483995,      -3.765732673,      -2.630860366,     -0.4608715836
         69,           0,          49,      0.1625296767,      -5.796446002,      -3.720605267,      -2.565545672,     -0.4290975643
         70,           0,          49,      0.1648851793,      -5.761086493,      -3.688702142,      -2.573218843,     -0.3728162126
         71,           0,          49,      0.1672406819,      -5.739337907,       -3.67025709,      -2.669178581,     -0.3170007338
         72,           0,          49,      0.1695961844,      -5.745607213,      -3.694298248,      -2.855973916,      -0.284396758
         73,           0,          49,       0.171951687,      -5.794072105,       -3.74805882,      -3.049097138,     -0.2956529879
         74,           0,          49,      0.1743071895,      -5.870093756,      -3.795810409,        -3.1179505,     -0.3460462167
         75,           0,          49,      0.1766626921,       -5.93748289,      -3.901197017,      -3.016621315,     -0.4190054867
         76,           0,          49,      0.1790181947,      -5.975230351,      -4.030658405,      -2.913549303,     -0.5040857872
         77,           0,          49,      0.1813736972,      -5.952418428,      -4.005252525,      -2.848433766,     -0.5551972995
         78,           0,          49,      0.1837291998,      -5.910626435,      -3.912615835,      -2.812000204,     -0.5588474475
         79,           0,          49,      0.1860847023,      -5.879031754,      -3.840129743,      -2.773319691,     -0.5429956182
         80,           0,          49,      0.1884402049,      -5.851703651,      -3.795141166,      -2.686275337,     -0.5104454263
         81,           0,          49,      0.1907957075,       -5.81864885,      -3.749236333,      -2.587367229,     -0.4604490351
         82,           0,          49,        0.19315121,      -5.775821722,      -3.714564778,      -2.546071342,     -0.3939122758
         83,           0,          49,      0.1955067126,      -5.741305179,      -3.680448408,      -2.591953968,     -0.3261577042
         84,           0,          49,      0.1978622152,       -5.73215895,      -3.656030807,      -2.730445613,     -0.2814703381
         85,           0,          49,      0.2002177177,      -5.761453555,      -3.700994865,      -2.933714307,     -0.2688888819
         86,           0,          49,      0.2025732203,       -5.81781046,      -3.763510732,      -3.102224051,     -0.2931363501
         87,           0,          49,      0.2049287228,      -5.885012435,      -3.832749896,      -3.075007941,     -0.3415570268
         88,           0,          49,      0.2072842254,      -5.943775672,      -3.957047061,      -2.948177976,     -0.4185290968
         89,           0,          49,       0.209639728,      -5.956371045,      -3.996413796,      -2.867107116,     -0.4839841943
         90,           0,          49,      0.2119952305,      -5.921032493,       -3.95680224,      -2.815107073,     -0.5052049641
         91,           0,          49,      0.2143507331,      -5.881543151,      -3.885496063,      -2.778292873,     -0.4953391976
         92,           0,          49,      0.2167062356,      -5.850247558,      -3.824406578,       -2.71859504,     -0.4798421752
         93,           0,          49,      0.2190617382,       -5.82756356,      -3.764951012,      -2.627286105,      -0.460812104
         94,           0,          49,      0.2214172408,      -5.800494961,      -3.719774262,      -2.560880398,     -0.4302007086
         95,           0,          49,      0.2237727433,      -5.766423769,      -3.687829287,      -2.566052445,     -0.3757326083
         96,           0,          49,      0.2261282459,      -5.746463549,       -3.66988688,      -2.658994353,     -0.3218257148
         97,           0,          49,      0.2284837484,      -5.750661662,      -3.695235788,      -2.843575707,     -0.2878613087
         98,           0,          49,       0.230839251,      -5.796573842,      -3.747017876,      -3.043794966,     -0.2969864196
         99,           0,          49,      0.2331947536,      -5.872459234,      -3.795165037,      -3.123854441,     -0.3459829543
        100,           0,          49,      0.2355502561,      -5.939660766,      -3.898417383,      -3.016484987,     -0.4166355419
        101,           0,          49,      0.2379057587,      -5.978529112,       -4.02833958,       -2.90875462,      -0.500036787
        102,           0,          49,      0.2402612613,      -5.957571795,      -4.004882156,      -2.840522247,     -0.5513263987
        103,           0,          49,      0.2426167638,      -5.915003843,      -3.914004894,      -2.802028342,     -0.5567992847
        104,           0,          49,      0.2449722664,      -5.882603457,      -3.840587274,      -2.763457147,     -0.5429682421
        105,           0,          49,      0.2473277689,      -5.855897154,      -3.794380405,      -2.680332328,     -0.5124970971
        106,           0,          49,      0.2496832715,       -5.82333359,      -3.748786815,      -2.583838048,     -0.4625435927
        107,           0,          49,      0.2520387741,      -5.780617853,      -3.713039668,      -2.542715997,     -0.3959168994
        108,           0,          49,      0.2543942766,      -5.745394101,      -3.678803004,      -2.587682369,     -0.3282212093
        109,           0,          49,      0.2567497792,      -5.735289243,      -3.656632309,       -2.72502558,     -0.2824331483
        110,           0,          49,      0.2591052817,      -5.763740497,       -3.70337399,      -2.925851862,     -0.2688601033
        111,           0,          49,      0.2614607843,      -5.819261845,      -3.762826124,      -3.098990073,     -0.2919465653
        112,           0,          49,      0.2638162869,      -5.886781979,      -3.833204293,      -3.074332277,     -0.3399354438
        113,           0,          49,      0.2661717894,      -5.945249501,      -3.956873479,       -2.94573032,      -0.416202951
        114,           0,          49,       0.268527292,      -5.958871357,      -3.998569674,      -2.864010336,     -0.4820992119
        115,           0,          49,      0.2708827946,      -5.923035443,      -3.956751772,      -2.811235702,     -0.5031678448
