Point ID,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Nu_Tilde,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Skin_Friction_Coefficient_Magnitude,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude,Y_Plus
0,0.998787,0,79.7046,-0,1.67378e-07,0,0,0,0,0,0,1,5.3522e-08,0,1,31.8818,0.271631,3.22957e-17,1.29755e-07,0,1.29755e-07,1.0055,0,0,0,0,0.00616329
1,0.998795,0,79.6774,-0,1.67332e-07,0,0,0,0,0,0,0.995782,-0.000596789,0,0.995782,31.871,0.24987,0.00239239,0.000337498,0,0.00241608,1.00515,0,0,0,0,0.83149
2,0.998652,0,79.662,-0,1.67326e-07,0,0,0,0,0,0,0.990924,-0.00128029,0,0.990925,31.8648,0.237545,0.00260227,0.000364862,0,0.00262773,1.0051,0,0,0,0,0.85617
3,0.998619,0,79.6382,-0,1.67291e-07,0,0,0,0,0,0,0.985337,-0.00206129,0,0.985339,31.8553,0.218529,0.0025533,0.000355491,0,0.00257793,1.00483,0,0,0,0,0.838851
4,0.99846,0,79.6118,-0,1.67269e-07,0,0,0,0,0,0,0.978921,-0.00295145,0,0.978926,31.8447,0.197396,0.002548,0.000351922,0,0.00257219,1.00466,0,0,0,0,0.829947
5,0.998222,0,79.5846,-0,1.67255e-07,0,0,0,0,0,0,0.971568,-0.00396307,0,0.971576,31.8338,0.175593,0.00260516,0.000356547,0,0.00262944,1.00455,0,0,0,0,0.832131
6,0.997949,0,79.5576,-0,1.67247e-07,0,0,0,0,0,0,0.963157,-0.00510898,0,0.96317,31.823,0.153994,0.00269229,0.000364672,0,0.00271687,1.00449,0,0,0,0,0.83969
7,0.99766,0,79.5305,-0,1.6724e-07,0,0,0,0,0,0,0.95356,-0.00640218,0,0.953582,31.8122,0.132319,0.00278972,0.00037346,0,0.0028146,1.00443,0,0,0,0,0.849243
8,0.997366,0,79.5032,-0,1.67234e-07,0,0,0,0,0,0,0.942641,-0.00785548,0,0.942673,31.8013,0.110458,0.00288093,0.000380595,0,0.00290596,1.00439,0,0,0,0,0.858172
9,0.997071,0,79.4754,-0,1.67227e-07,0,0,0,0,0,0,0.930255,-0.00948102,0,0.930303,31.7902,0.0882952,0.00297073,0.000386652,0,0.00299579,1.00433,0,0,0,0,0.867189
