"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -3.714995161,       -13.0592265,      -13.12907687,      -1.667287729,      -8.979655466
          0,           0,           1,       -3.95048255,      -3.581431418,       -3.16398135,      -1.894246911,      -9.305263767
          0,           0,           2,      -4.472448366,      -3.863757091,      -3.644528471,      -2.424300786,      -9.840545367
          0,           0,           3,      -4.567906791,       -3.75196616,      -3.601305188,      -2.522470505,      -10.01296097
          0,           0,           4,      -4.605911839,      -3.635026115,      -3.560537944,      -2.565583814,      -10.18395545
          0,           0,           5,      -4.629479875,      -3.564981351,      -3.548191056,      -2.595106292,      -10.27821129
          0,           0,           6,      -4.609924913,      -3.539271563,      -3.561985725,      -2.575735422,      -10.34031652
          0,           0,           7,      -4.558379711,      -3.551362093,      -3.596935461,      -2.519585732,      -10.38213627
          0,           0,           8,      -4.507283228,      -3.593537317,      -3.645891388,      -2.464543564,      -10.42299261
          0,           0,           9,      -4.473014091,       -3.65018007,      -3.691671658,      -2.428469532,      -10.45102384
          0,           0,          10,      -4.456534867,      -3.689211019,       -3.70834132,      -2.411885992,        -10.466909
          0,           0,          11,      -4.451746831,       -3.68107994,      -3.687779629,      -2.408021165,      -10.47903536
          0,           0,          12,      -4.450059074,      -3.638444938,      -3.650420301,       -2.40759275,      -10.48686776
          0,           0,          13,      -4.445157991,      -3.592688475,      -3.616720254,      -2.403651369,      -10.49082936
          0,           0,          14,      -4.435618813,      -3.559318473,        -3.5935804,      -2.394462436,      -10.49461825
          0,           0,          15,      -4.423311666,      -3.540262823,      -3.579369897,      -2.381969456,      -10.50121632
          0,           0,          16,      -4.409835901,       -3.53237546,      -3.569927362,      -2.367983751,      -10.50343828
          0,           0,          17,      -4.395042883,      -3.531518798,      -3.562086701,       -2.35252434,      -10.49946703
          0,           0,          18,      -4.378085399,      -3.533945595,      -3.554826599,      -2.334857462,      -10.49113905
          0,           0,          19,      -4.359013576,      -3.536356787,      -3.548385763,      -2.315129215,      -10.48015656
          0,           0,          20,      -4.339286234,      -3.535509372,      -3.542552041,      -2.294878285,      -10.46884909
          0,           0,          21,      -4.320986343,      -3.528234941,      -3.535699694,      -2.276232415,      -10.45823998
          0,           0,          22,      -4.305649635,      -3.512502149,      -3.525307746,      -2.260726667,       -10.4485263
          0,           0,          23,       -4.29360291,      -3.488845746,      -3.509691999,      -2.248644295,      -10.43874504
          0,           0,          24,      -4.283933195,      -3.460606768,      -3.489590513,      -2.238989543,      -10.42701006
          0,           0,          25,      -4.275005665,      -3.432597341,      -3.468091334,      -2.230024923,      -10.41183873
          0,           0,          26,      -4.265275521,      -3.409349584,      -3.449124636,      -2.220115875,      -10.39208744
          0,           0,          27,      -4.254088533,      -3.394104159,      -3.435947379,      -2.208574074,      -10.36842216
          0,           0,          28,      -4.242030508,      -3.388541548,      -3.430327975,      -2.196029257,      -10.34339064
          0,           0,          29,      -4.230617667,      -3.392627723,      -3.432276162,      -2.184094675,       -10.3188899
          0,           0,          30,      -4.221585067,      -3.404240117,      -3.439843686,       -2.17460617,      -10.29641187
          0,           0,          31,      -4.216213381,      -3.418583975,      -3.449020955,      -2.168914285,      -10.27603519
          0,           0,          32,      -4.214919336,      -3.428306381,      -3.454354407,      -2.167463786,      -10.25673226
          0,           0,          33,      -4.217124737,       -3.42608445,      -3.451065763,      -2.169663021,      -10.23829759
          0,           0,          34,      -4.221387498,      -3.409467379,      -3.437945229,      -2.174016795,      -10.21949333
          0,           0,          35,      -4.225831572,      -3.382978737,      -3.418271149,      -2.178563786,      -10.20124859
          0,           0,          36,      -4.228861459,      -3.354622087,       -3.39769669,      -2.181613439,      -10.18470128
          0,           0,          37,      -4.229897408,      -3.331431723,      -3.381511845,      -2.182517253,      -10.17062039
          0,           0,          38,      -4.229678886,      -3.317846212,      -3.373331543,      -2.182000011,      -10.15814214
          0,           0,          39,      -4.229903931,      -3.316029444,      -3.374992726,      -2.181796095,      -10.14671348
          0,           0,          40,      -4.232472156,      -3.326456361,      -3.386730403,      -2.183867196,      -10.13562377
          0,           0,          41,      -4.238786618,      -3.348043228,      -3.407108065,      -2.189680044,      -10.12523752
          0,           0,          42,      -4.249365368,      -3.377706273,      -3.432624648,      -2.199805917,       -10.1142835
          0,           0,          43,      -4.263779577,      -3.409641001,      -3.457463595,      -2.213852513,      -10.10436472
          0,           0,          44,      -4.280878486,      -3.435545661,       -3.47462072,       -2.23067779,      -10.09345397
          0,           0,          45,      -4.299277926,       -3.44781469,      -3.479339681,      -2.248863222,      -10.08379928
          0,           0,          46,      -4.317997609,      -3.444786346,      -3.472517831,      -2.267346227,      -10.07306958
          0,           0,          47,      -4.336940931,       -3.43201622,      -3.459984302,      -2.285922388,      -10.06403503
          0,           0,          48,      -4.356884998,      -3.417721701,      -3.448603501,      -2.305282609,      -10.05561843
