"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -3.722399951,      -13.34114712,       -13.3751716,      -1.674692519,      -9.129659393
          0,           0,           1,      -3.895711665,      -3.739107882,      -3.143210762,      -1.838822102,      -9.546820737
          0,           0,           2,      -4.780126308,      -4.022431069,       -3.80711829,      -2.733109868,      -10.23785177
          0,           0,           3,      -4.926855203,      -3.909468081,      -3.815938925,      -2.882596247,      -10.54833113
          0,           0,           4,      -4.990691255,      -3.882106053,       -3.86851366,      -2.947519752,      -10.75128474
          0,           0,           5,      -4.929529664,       -3.92654502,      -3.970513778,      -2.883893869,      -10.79613175
          0,           0,           6,      -4.859095685,      -4.013840669,      -4.087942224,      -2.812386313,      -10.75213576
          0,           0,           7,      -4.840978574,      -4.083809592,      -4.145209086,      -2.793762611,      -10.70080235
          0,           0,           8,      -4.877415848,      -4.074956652,      -4.109350986,      -2.829551494,      -10.65000185
          0,           0,           9,      -4.955378191,      -4.027604783,      -4.053799011,      -2.906574757,      -10.59613863
          0,           0,          10,      -5.034504709,      -3.999710364,      -4.028366056,      -2.985057329,      -10.54079246
          0,           0,          11,      -5.050740048,      -4.005620012,      -4.043218557,      -3.001976082,      -10.48625245
          0,           0,          12,        -5.0149614,      -4.035149601,      -4.090516207,      -2.966986412,      -10.43345713
          0,           0,          13,      -4.987934324,      -4.061679851,      -4.142197873,      -2.939765614,      -10.38264515
          0,           0,          14,      -4.994423792,      -4.059717493,      -4.157655588,      -2.945186419,      -10.33390907
          0,           0,          15,      -5.032849581,      -4.035272488,      -4.136152276,      -2.981832374,      -10.28732479
          0,           0,          16,       -5.08776087,      -4.013367629,       -4.11545413,      -3.034615551,      -10.24355114
          0,           0,          17,      -5.134210547,      -4.008903483,      -4.118000121,      -3.079558938,      -10.20304366
          0,           0,          18,      -5.156925701,      -4.022768188,      -4.142855929,      -3.101939407,      -10.16588577
          0,           0,          19,      -5.167857333,      -4.047245258,      -4.173853416,      -3.112611924,      -10.13206705
          0,           0,          20,      -5.187123285,      -4.071950222,      -4.191656337,      -3.130557593,      -10.10131778
          0,           0,          21,      -5.222062023,      -4.091238335,      -4.194043661,      -3.162964596,      -10.07333444
          0,           0,          22,      -5.265753613,      -4.108005359,      -4.196705689,      -3.203713747,      -10.04794328
          0,           0,          23,      -5.304236793,      -4.128317144,      -4.212816095,      -3.240465968,      -10.02484641
          0,           0,          24,       -5.33042634,      -4.152653092,      -4.242777222,      -3.266732897,      -10.00377715
          0,           0,          25,      -5.351005227,      -4.173787618,      -4.275012404,      -3.287912337,      -9.984506297
          0,           0,          26,      -5.378778814,      -4.182091676,      -4.293780293,      -3.315075191,      -9.966945614
          0,           0,          27,      -5.414768875,      -4.176772941,      -4.294834509,      -3.349039979,      -9.951047453
          0,           0,          28,      -5.453281683,      -4.166529707,      -4.289444617,       -3.38483874,      -9.936814192
          0,           0,          29,      -5.484525006,      -4.161400795,      -4.289059046,      -3.413763002,      -9.924073182
          0,           0,          30,      -5.508479137,      -4.165636808,       -4.29699178,      -3.435578747,      -9.912711597
          0,           0,          31,      -5.532546388,      -4.177632366,      -4.308767601,      -3.456197962,      -9.902662234
          0,           0,          32,      -5.565549461,      -4.192149642,      -4.317570503,      -3.482726022,      -9.893733295
          0,           0,          33,      -5.610577955,       -4.20390345,      -4.320269833,       -3.51751882,      -9.885671918
          0,           0,          34,      -5.662038987,      -4.211080672,      -4.319437412,      -3.556358953,      -9.878473607
          0,           0,          35,      -5.704520884,      -4.215438989,      -4.319654733,      -3.588684089,      -9.872070896
          0,           0,          36,      -5.722354613,      -4.219811923,       -4.32361818,      -3.604670689,      -9.866441672
          0,           0,          37,      -5.719366759,      -4.225425078,      -4.330956572,      -3.606586533,       -9.86162038
          0,           0,          38,      -5.712048852,      -4.231627887,      -4.339603903,      -3.604905043,      -9.857659254
          0,           0,          39,      -5.713161027,      -4.237022948,      -4.347463391,      -3.608478055,      -9.854606789
          0,           0,          40,      -5.728346217,      -4.241069907,      -4.353722091,      -3.621679101,      -9.852523532
          0,           0,          41,      -5.754945803,      -4.244394192,      -4.359267334,      -3.642648637,      -9.851438426
          0,           0,          42,      -5.786913867,      -4.248286337,      -4.365394758,      -3.666969117,      -9.851302153
          0,           0,          43,      -5.815867048,      -4.253712535,      -4.372923986,      -3.688879664,      -9.852016287
          0,           0,          44,       -5.83735195,      -4.261140415,      -4.381882841,      -3.705956994,      -9.853288068
          0,           0,          45,      -5.851998151,      -4.270038673,      -4.391683424,      -3.718691056,      -9.854625333
          0,           0,          46,      -5.867710636,      -4.279872803,       -4.40172519,      -3.732356054,      -9.855374854
          0,           0,          47,      -5.884386431,      -4.290117312,      -4.412031974,       -3.74728258,      -9.854672596
          0,           0,          48,      -5.900935132,      -4.300408844,      -4.422672717,      -3.762887141,      -9.851527657
          0,           0,          49,       -5.91729803,      -4.310576225,      -4.433635803,      -3.779091611,      -9.844919176
          0,           0,          50,      -5.927176472,      -4.320462063,      -4.445073673,      -3.791756044,      -9.833862064
          0,           0,          51,      -5.933157074,       -4.32997998,      -4.456498409,      -3.801959488,      -9.817556307
          0,           0,          52,      -5.937976434,      -4.339151116,      -4.467472326,      -3.811062402,      -9.795532194
          0,           0,          53,      -5.945784058,      -4.347912477,      -4.477908793,      -3.821501207,      -9.767696257
          0,           0,          54,      -5.957967756,      -4.356490101,      -4.487702854,      -3.834365466,      -9.734448264
          0,           0,          55,       -5.97551285,      -4.365003243,      -4.497020584,      -3.850533719,      -9.696500246
          0,           0,          56,       -5.99535432,      -4.373594125,      -4.506017752,       -3.86799037,      -9.654761194
          0,           0,          57,      -6.014662385,      -4.382243416,      -4.514725653,      -3.884955502,      -9.610114146
          0,           0,          58,      -6.032878979,      -4.390990863,      -4.523244557,      -3.901262802,      -9.563380237
          0,           0,          59,      -6.048698957,      -4.399769539,      -4.531704963,      -3.916389088,      -9.515389262
          0,           0,          60,      -6.062383555,       -4.40842225,      -4.540127402,      -3.930742444,      -9.466836664
          0,           0,          61,      -6.074605309,      -4.416835748,      -4.548371016,      -3.944583356,      -9.417949603
          0,           0,          62,      -6.085607443,      -4.424823778,      -4.556418107,      -3.957801476,      -9.369412181
          0,           0,          63,      -6.095914808,      -4.432401725,      -4.564185191,      -3.970698587,      -9.321335656
          0,           0,          64,      -6.106347591,      -4.439530025,      -4.571666891,      -3.983636348,      -9.273768472
          0,           0,          65,      -6.116802971,      -4.446237083,      -4.578880926,      -3.996366986,      -9.227090457
          0,           0,          66,      -6.126530283,      -4.452511252,      -4.585837254,      -4.008247136,      -9.181202043
          0,           0,          67,      -6.138237181,      -4.458410281,      -4.592510379,      -4.021112251,      -9.135971934
          0,           0,          68,      -6.150316678,      -4.463953792,       -4.59891798,      -4.033885842,      -9.091415116
          0,           0,          69,      -6.161772211,      -4.469185563,      -4.605102691,      -4.045944213,      -9.047437917
          0,           0,          70,      -6.173220183,      -4.474164215,      -4.611051437,      -4.057814892,      -9.003557997
          0,           0,          71,      -6.183461985,      -4.478871565,       -4.61685842,      -4.068863747,      -8.959763764
          0,           0,          72,      -6.193401543,      -4.483370097,       -4.62249784,      -4.079872713,      -8.915478213
          0,           0,          73,      -6.201241719,      -4.487589926,      -4.628016231,      -4.089425056,      -8.870534164
          0,           0,          74,      -6.206624941,      -4.491566874,      -4.633375944,      -4.097361024,      -8.824699478
          0,           0,          75,      -6.211562713,      -4.495358984,      -4.638615547,      -4.105075832,      -8.776708064
          0,           0,          76,      -6.216802909,      -4.498938937,      -4.643781927,      -4.112934569,      -8.726143024
          0,           0,          77,      -6.221925167,      -4.502325646,      -4.648865453,      -4.120629403,      -8.674591965
          0,           0,          78,      -6.228523132,      -4.505512714,      -4.653881613,      -4.129442846,      -8.623322058
          0,           0,          79,      -6.234140108,      -4.508477657,      -4.658838596,      -4.137364778,      -8.572353418
          0,           0,          80,      -6.240689343,      -4.511183952,      -4.663710792,       -4.14582072,      -8.522163212
          0,           0,          81,      -6.247321347,      -4.513633458,      -4.668505277,      -4.154091677,      -8.473063468
          0,           0,          82,      -6.254309362,      -4.515799024,      -4.673203596,      -4.162489242,      -8.425286273
          0,           0,          83,      -6.260453626,      -4.517649861,      -4.677779043,      -4.170061651,      -8.378625606
          0,           0,          84,      -6.266682292,       -4.51915642,      -4.682221125,      -4.177460245,      -8.333339985
          0,           0,          85,      -6.273900993,      -4.520293944,      -4.686455439,      -4.185412928,      -8.289403774
          0,           0,          86,      -6.279646043,      -4.521034351,      -4.690466198,      -4.191959793,      -8.246662215
          0,           0,          87,      -6.285055168,      -4.521373214,      -4.694231627,      -4.197996192,      -8.205132413
          0,           0,          88,      -6.289840976,      -4.521260835,      -4.697710611,      -4.203138402,      -8.164723207
          0,           0,          89,      -6.293842846,      -4.520662858,      -4.700851577,      -4.207158004,      -8.125362886
          0,           0,          90,      -6.298407691,       -4.51955638,      -4.703592676,      -4.211052711,      -8.087021643
          0,           0,          91,      -6.302546012,      -4.517929243,      -4.705866452,      -4.214068275,      -8.049812328
          0,           0,          92,      -6.306206633,      -4.515750854,      -4.707644895,      -4.216061457,      -8.013930577
          0,           0,          93,      -6.309404662,      -4.512979877,       -4.70887234,      -4.216900851,      -7.979632038
          0,           0,          94,      -6.312612558,      -4.509612745,      -4.709456039,      -4.217056427,      -7.946899932
          0,           0,          95,       -6.31388658,      -4.505627477,      -4.709362651,      -4.214850537,      -7.913800931
          0,           0,          96,      -6.315051076,      -4.501000929,       -4.70851539,      -4.211646068,      -7.880569352
          0,           0,          97,      -6.315851738,      -4.495756289,      -4.706845796,      -4.207337723,      -7.850229963
          0,           0,          98,      -6.314997088,        -4.4898781,      -4.704339096,      -4.200991952,      -7.823117108
          0,           0,          99,      -6.313249039,      -4.483374199,      -4.700961039,      -4.193188162,      -7.798804023
          0,           0,         100,      -6.309417015,       -4.47623851,      -4.696680753,      -4.183156141,      -7.774344374
          0,           0,         101,      -6.304059733,      -4.468529879,        -4.6914678,      -4.171469887,      -7.749192982
          0,           0,         102,      -6.296621196,      -4.460255955,      -4.685350613,      -4.157878276,      -7.726642227
          0,           0,         103,      -6.287587573,      -4.451461853,      -4.678340319,       -4.14285321,      -7.707136719
          0,           0,         104,      -6.277138002,      -4.442193212,      -4.670483827,      -4.126657713,      -7.690065005
          0,           0,         105,      -6.264424311,       -4.43250655,      -4.661836031,      -4.108942947,      -7.674612048
          0,           0,         106,      -6.251341985,      -4.422444482,      -4.652465186,      -4.090973401,      -7.659878741
          0,           0,         107,      -6.237081826,      -4.412056254,      -4.642429757,      -4.072341991,      -7.647813309
          0,           0,         108,      -6.221693309,      -4.401387485,      -4.631797272,      -4.053168627,      -7.639207945
          0,           0,         109,      -6.205237696,      -4.390509889,      -4.620642601,      -4.033558709,      -7.632944655
          0,           0,         110,      -6.188943022,       -4.37947923,      -4.609049492,      -4.014272586,      -7.627785461
          0,           0,         111,      -6.172861913,      -4.368357096,      -4.597128535,      -3.995382629,      -7.622902631
          0,           0,         112,      -6.156012119,      -4.357181231,      -4.584959033,      -3.976348015,      -7.619120188
          0,           0,         113,       -6.13988597,      -4.346019093,      -4.572584031,      -3.958016496,      -7.616595286
          0,           0,         114,      -6.122859771,      -4.334875245,      -4.560116937,      -3.939454063,      -7.616325688
          0,           0,         115,      -6.106322642,      -4.323823491,       -4.54758128,       -3.92148358,      -7.612980793
          0,           0,         116,      -6.089756351,      -4.312893781,      -4.535058251,      -3.903844415,      -7.612188493
          0,           0,         117,      -6.073864871,      -4.302114003,      -4.522616438,      -3.886893936,      -7.614928346
          0,           0,         118,      -6.057610924,      -4.291503852,      -4.510299548,      -3.870013077,        -7.6137226
          0,           0,         119,      -6.042410169,      -4.281124273,      -4.498116297,      -3.854022713,       -7.61803608
          0,           0,         120,      -6.027763562,         -4.271015,      -4.486156127,      -3.838678797,       -7.62473173
          0,           0,         121,      -6.013127836,      -4.261154074,      -4.474468809,      -3.823607326,      -7.640745955
          0,           0,         122,       -5.99854085,      -4.251618967,      -4.463036512,      -3.808890801,      -7.651260525
          0,           0,         123,      -5.985506821,      -4.242430058,      -4.451939396,      -3.795354091,      -7.632424722
          0,           0,         124,      -5.973065415,      -4.233569558,      -4.441217466,      -3.782435455,      -7.622725221
          0,           0,         125,      -5.960753694,      -4.225029583,      -4.430859501,       -3.76986064,       -7.60320967
          0,           0,         126,      -5.948841935,      -4.216836243,      -4.420840795,      -3.757802938,      -7.608642327
          0,           0,         127,      -5.936888461,      -4.209051421,      -4.411192555,      -3.746080986,      -7.604836608
          0,           0,         128,      -5.926167016,      -4.201697853,      -4.402029904,      -3.735349913,      -7.589223231
          0,           0,         129,      -5.915847541,      -4.194742286,      -4.393366842,      -3.725090287,      -7.557824394
          0,           0,         130,      -5.906516638,      -4.188196196,      -4.385156741,      -3.715642386,      -7.524083197
          0,           0,         131,      -5.897544048,      -4.182093592,      -4.377414789,      -3.706733035,      -7.509903613
          0,           0,         132,      -5.888848131,      -4.176455189,      -4.370178503,      -3.698287335,      -7.487437923
          0,           0,         133,      -5.880563006,      -4.171176704,      -4.363429154,      -3.690388105,      -7.453709135
          0,           0,         134,      -5.866833186,      -4.166271567,       -4.35695313,      -3.680314474,       -7.43000911
          0,           0,         135,       -5.86033319,      -4.162413026,      -4.351665564,      -3.673642585,      -7.420100098
          0,           0,         136,      -5.859453536,      -4.158905746,      -4.346662557,      -3.670799769,      -7.407979665
          0,           0,         137,      -5.854815315,      -4.155900544,      -4.342369609,      -3.666285163,      -7.388853773
          0,           0,         138,      -5.849802489,      -4.153443448,      -4.338658947,      -3.661908123,      -7.366845748
          0,           0,         139,      -5.846163712,      -4.151579184,      -4.335563062,      -3.658634315,      -7.335825184
          0,           0,         140,      -5.841184711,      -4.150306538,       -4.33312778,       -3.65504431,      -7.310314492
          0,           0,         141,      -5.840400921,      -4.149656307,      -4.331344394,      -3.654067832,      -7.294109957
          0,           0,         142,      -5.837949786,      -4.149597236,      -4.330242697,      -3.652568387,      -7.284162677
          0,           0,         143,      -5.836414738,      -4.150155993,      -4.329808652,      -3.651938388,      -7.277463847
          0,           0,         144,      -5.835216248,      -4.151330566,      -4.330030191,      -3.651884941,         -7.272511
