"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -3.838432436,      -16.65547983,      -16.92457746,      -3.231266435,      -10.08405846
          0,           0,           1,      -3.365168043,      -3.338056972,      -3.878967992,      -2.758370129,      -9.730733754
          0,           0,           2,      -3.516427917,      -3.514293182,       -4.02111507,      -2.907485136,      -9.535407049
          0,           0,           3,      -3.698400248,      -3.694502699,      -4.205351136,      -3.086879951,      -9.293871624
          0,           0,           4,       -4.00295465,      -3.895856225,      -4.230313323,      -3.386553186,      -9.028415997
          0,           0,           5,      -4.191695005,      -3.986278716,      -4.214450826,      -3.575701778,      -8.751182485
          0,           0,           6,      -4.206614294,      -4.075731917,      -4.216032553,      -3.593370171,      -9.135267196
          0,           0,           7,      -4.189945451,       -4.13097809,      -4.225343952,      -3.574604454,      -8.901981527
          0,           0,           8,      -4.183242269,      -4.154975551,      -4.238747437,      -3.563086807,      -8.632880617
          0,           0,           9,      -4.188482422,      -4.165897223,       -4.26076098,      -3.563678087,      -9.222571636
          0,           0,          10,      -4.206641794,      -4.178461955,       -4.29471975,      -3.578483155,      -9.135698159
          0,           0,          11,      -4.239231021,      -4.197847805,      -4.340658013,      -3.609443943,      -8.979471574
          0,           0,          12,      -4.285386863,      -4.222514391,      -4.395065821,      -3.656003375,      -8.807598677
          0,           0,          13,       -4.34199118,      -4.249024027,      -4.452244279,      -3.715390421,      -8.707860553
          0,           0,          14,      -4.403174811,      -4.274122773,      -4.505332555,        -3.7818141,      -8.700404808
          0,           0,          15,      -4.460393248,      -4.295980165,      -4.549778658,      -3.845897864,       -8.70618643
          0,           0,          16,      -4.504846557,      -4.314667972,      -4.586320651,      -3.897028054,       -8.64676564
          0,           0,          17,       -4.53157197,      -4.331113551,      -4.619398312,      -3.929127059,      -8.862648996
          0,           0,          18,      -4.540803403,      -4.345195345,      -4.653447655,       -3.94286501,      -8.766472555
