"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.436551649,       1.118823817,     0.07178852595,       4.079246874
          0,           0,           1,      -2.209210449,      0.2343674773,      0.2601902124,       3.296169334
          0,           0,           2,      -2.445328509,     -0.1271590936,    -0.08040064824,       3.053033443
          0,           0,           3,      -2.587299468,     -0.3029989992,     -0.1522207762,       2.906181386
          0,           0,           4,      -2.819524201,     -0.4985771894,     -0.3649210134,       2.682964755
          0,           0,           5,       -2.99166268,     -0.6722459883,     -0.4968582868,       2.513724437
          0,           0,           6,      -3.080040305,     -0.7830606882,     -0.6537529456,       2.415521733
          0,           0,           7,      -3.217185073,     -0.9244433761,     -0.8706624873,       2.276716728
          0,           0,           8,       -3.36589098,       -1.05130256,      -1.000402731,       2.127998506
          0,           0,           9,      -3.521869645,      -1.140163349,      -1.085141507,        1.97991438
          0,           0,          10,      -3.660546364,      -1.228209305,      -1.187701712,       1.851540148
          0,           0,          11,      -3.775868281,      -1.318560268,      -1.310779653,       1.730899005
          0,           0,          12,      -3.866777907,      -1.388400423,      -1.425263794,       1.616050484
          0,           0,          13,      -3.950905415,      -1.463843323,      -1.537680927,       1.498196491
          0,           0,          14,      -4.009803355,      -1.529475788,      -1.640153448,       1.389984201
          0,           0,          15,      -4.065567519,      -1.586857017,      -1.734498159,       1.291418083
          0,           0,          16,      -4.128930829,      -1.633299323,      -1.822183247,       1.186435866
          0,           0,          17,      -4.186612704,      -1.677357989,      -1.904943042,       1.076127557
          0,           0,          18,      -4.238228466,      -1.714788501,      -1.974729401,      0.9816384765
          0,           0,          19,       -4.29184765,      -1.752611875,      -2.047145881,      0.8742723715
          0,           0,          20,      -4.333574522,      -1.781024126,      -2.111496438,      0.7744090887
          0,           0,          21,      -4.369137048,      -1.811623324,       -2.16922061,      0.6894585605
          0,           0,          22,      -4.391279009,      -1.833481621,      -2.225074807,       0.614122387
          0,           0,          23,      -4.411519822,      -1.860938369,      -2.281645297,       0.544074994
          0,           0,          24,      -4.420280099,      -1.877280815,      -2.326188325,      0.4868661085
          0,           0,          25,      -4.433737593,       -1.90208358,      -2.375613258,      0.4254498691
          0,           0,          26,      -4.439785488,      -1.916603397,      -2.414834364,      0.3743315763
          0,           0,          27,      -4.451336099,      -1.937799369,       -2.45399907,      0.3297238678
          0,           0,          28,      -4.457488232,      -1.951644693,      -2.487142065,      0.2873734687
          0,           0,          29,      -4.469285756,      -1.972262355,      -2.521522191,      0.2505603115
          0,           0,          30,      -4.475321511,      -1.985052799,      -2.548375157,      0.2193789358
          0,           0,          31,      -4.486953372,      -2.005466556,      -2.579085063,      0.1872915435
          0,           0,          32,      -4.492850851,      -2.018315134,      -2.603451929,      0.1593076871
          0,           0,          33,        -4.5039549,      -2.037701468,      -2.630768401,      0.1327515884
          0,           0,          34,       -4.50950836,      -2.050854956,      -2.653095248,      0.1068889762
          0,           0,          35,      -4.520217963,      -2.070209853,      -2.678577258,     0.08274781648
          0,           0,          36,      -4.525443441,      -2.083169067,        -2.6985435,     0.05982055643
          0,           0,          37,      -4.535815906,      -2.102488986,      -2.722103699,     0.03701231364
          0,           0,          38,      -4.540822856,       -2.11544594,      -2.740314476,     0.01529307866
          0,           0,          39,      -4.550885245,      -2.133996516,       -2.76185931,   -0.005517789291
